Nombre del Comercio;Dirección del Local;
RES CHACARITA;TRIUNVIRATO 2551;  
RES CHACARITA;TRIUNVIRATO 2551;  
RES CHARCAS;CHARCAS 2599;  
RES CHARCAS;CHARCAS 2599;  
RES CID CAMPEADOR;AV DÍAZ VELEZ 5589;  
RES CID CAMPEADOR;AV DÍAZ VELEZ 5589;  
RES CID CAMPEADOR;HONORIO PUEYRREDON 1075;  
RES CID CAMPEADOR;HONORIO PUEYRREDON 1075
RES CIUDAD DE LA PAZ;CIUDAD DE LA PAZ 1898;  
RES CIUDAD DE LA PAZ;CIUDAD DE LA PAZ 1898;  
RES COBO;AV COBO 1651;  
RES COBO;AV COBO 1651;  
RES COBO;COBO 1651;  
RES COBO;COBO 1651;  
RES CONGRESO;CONGRESO 2450;  
RES CONGRESO;CONGRESO 2450;  
RES CONGRESO A;AV CONGRESO 2450;  
RES CONGRESO A;AV CONGRESO 2450
RES CONGRESO B;AV CONGRESO 2450;  
RES CONGRESO B;AV CONGRESO 2450;  
RES CONSTITUCION;AV BRASIL 1250;  
RES CONSTITUCION;AV BRASIL 1250;  
RES CONSTITUCION;BRASIL 1250;  
RES CONSTITUCION;BRASIL 1250;  
RES CORONEL DIAZ;AV CORONEL DIAZ 1690;  
RES CORONEL DIAZ;AV CORONEL DIAZ 1690;  
RES CORONEL DIAZ;CORONEL DIAZ 1690;  
RES CORONEL DIAZ;CORONEL DIAZ 1690
RES CORRIENTES;AV CORRIENTES 4046;  
RES CORRIENTES;AV CORRIENTES 4046;  
RES CORRIENTES 2;AV CORRIENTES 5181;  
RES CORRIENTES 2;AV CORRIENTES 5181;  
RES CORRIENTES 2;CORRIENTES 5185;  
RES CORRIENTES 2;CORRIENTES 5185;  
RES CRAMER;CRAMER 1786;  
RES CRAMER;CRAMER 1786;  
RES CRISOLOGO;CRISOLOGO LARRALDE 2801;  
RES CRISOLOGO;CRISOLOGO LARRALDE 2801
RES CRISOLOGO LARRALDE;CRISOLOGO LARRALDE 2801;  
RES CRISOLOGO LARRALDE;CRISOLOGO LARRALDE 2801;  
RES CUENCA;CUENCA 3090;  
RES CUENCA;CUENCA 3090;  
RES CUENCA 2;CUENCA 2193;  
RES CUENCA 2;CUENCA 2193;  
RES CULLEN;ALVAREZ THOMAS 3312;  
RES CULLEN;AV ÁLVAREZ THOMAS 3312;  
RES CULLEN;AV ÁLVAREZ THOMAS 3312;  
RES DIAZ VELEZ;AV DIAZ VELEZ 5194
RES DIAZ VELEZ;AV DIAZ VELEZ 5194;  
RES DONADO;DONADO 2500;  
RES DONADO;DONADO 2500;  
RES DORREGO;AV DORREGO 2204;  
RES DORREGO;AV DORREGO 2204;  
RES DORREGO;DORREGO 2202;  
RES DORREGO;DORREGO 2202;  
RES ELCANO;ELCANO 3300;  
RES ELCANO;ELCANO 3300;  
RES EMILIO CASTRO;EMILIO CASTRO 7495
RES EMILIO CASTRO;EMILIO CASTRO 7495;  
RES ENTRE RIOS;AV ENTRE RIOS 496;  
RES ENTRE RIOS;AV ENTRE RIOS 496;  
RES ENTRE RIOS;AV ENTRE RÍOS 496;  
RES ENTRE RIOS;AV ENTRE RÍOS 496;  
RES ESMERALDA;ESMERALDA 1008;  
RES ESMERALDA;ESMERALDA 1008;  
RES FITZ ROY;FITZ ROY 2203;  
RES FITZ ROY;FITZ ROY 2203;  
RES FLORES;AV RIVADAVIA 7093
RES FLORES;AV RIVADAVIA 7093;  
RES FLORES;RIVADAVIA 7093;  
RES FLORES;RIVADAVIA 7093;  
RES GAONA;PUJOL 1099;  
RES GAONA;PUJOL 1099;  
RES GODOY CRUZ;GODOY CRUZ 2807;  
RES GODOY CRUZ;GODOY CRUZ 2807;  
RES GORRITI;GORRITI 6001;  
RES GORRITI;GORRITI 6001;  
RES IBERA;TRIUNVIRATO 5490
RES IBERA;TRIUNVIRATO 5490;  
RES IBERA A;AV TRIUNVIRATO 5490;  
RES IBERA A;AV TRIUNVIRATO 5490;  
RES IBERA B;AV TRIUNVIRATO 5490;  
RES IBERA B;AV TRIUNVIRATO 5490;  
RES JOSE HERNANDEZ;JOSE HERNANDEZ 2391;  
RES JOSE HERNANDEZ;JOSE HERNANDEZ 2391;  
RES JUNIN;AV RIVADAVIA 2131;  
RES JUNIN;AV RIVADAVIA 2131;  
RES JUNIN;RIVADAVIA 2131
